Park / Adres;Code;Accommodatie;Aantal;Omschrijving;Takenlijst;Naam;Deadline;"Volgende
checkin";Wissel;1P;2P;H;K;"Welke
koffie"
Alexanderpark;3605;ALEX05;1;Na Controle;Controles;Zeeuwse Stijl;13-08-2022;13-08-2022;1;;;;;
Alexanderpark;3605;ALEX05;1;Linnen uithalen;Controles;Zeeuwse Stijl;13-08-2022;13-08-2022;1;;;;;F
Alexanderpark;3605;ALEX05;4;Bedlinnen klaarleggen;Controles;Zeeuwse Stijl;13-08-2022;13-08-2022;1;;2;;;
Alexanderpark;3605;ALEX05;1;Voorcontrole;Controles;Zeeuwse Stijl;13-08-2022;13-08-2022;1;;;;;
Noordzeepark;4266;GR-66;1;Na Controle;Controles;Zeeuwse Stijl;13-08-2022;13-08-2022;1;;;;;
Oude Nieuwlandseweg 33;4531/4532;MAS01 A en B;1;Na Controle;Controles;Zeeuwse Stijl;13-08-2022;20-08-2022;1;;;;;
Poldersbos 3;4503;Polder-03;8;Bedlinnen klaarleggen;Controles;Zeeuwse Stijl;13-08-2022;13-08-2022;1;8;1;;;
Poldersbos 3;4503;Polder-03;1;Voorcontrole;Controles;Zeeuwse Stijl;13-08-2022;13-08-2022;1;;;;;
Poldersbos 3;4503;Polder-03;2;Campingbedjes checken of ze er staan;Controles;Zeeuwse Stijl;13-08-2022;13-08-2022;1;;;;;
Poldersbos 3;4503;Polder-03;2;Kinderstoelenchecken of ze er staan;Controles;Zeeuwse Stijl;13-08-2022;13-08-2022;1;;;;;
Poldersbos 3;4503;Polder-03;1;Na Controle;Controles;Zeeuwse Stijl;13-08-2022;13-08-2022;1;;;;;
Residence;1055;PORT- 6P De Albatros;1;Na Controle;Controles;Zeeuwse Stijl;13-08-2022;13-08-2022;1;;;;;
Residence;1055;PORT- 6P De Albatros;1;Voorcontrole;Controles;Zeeuwse Stijl;13-08-2022;13-08-2022;1;;;;;
Residence;1033;PORT- 6P Jan van Gent;1;Na Controle;Controles;Zeeuwse Stijl;13-08-2022;13-08-2022;1;;;;;
Residence;1033;PORT- 6P Jan van Gent;1;Voorcontrole;Controles;Zeeuwse Stijl;13-08-2022;13-08-2022;1;;;;;
Port Marine;4533;PORT-2D;1;Na Controle;Controles;Zeeuwse Stijl;13-08-2022;13-08-2022;1;;;;;
Port Marine;4533;PORT-2D;1;Voorcontrole;Controles;Zeeuwse Stijl;13-08-2022;13-08-2022;1;;;;;
Klepperstee;3710;VL-10;4;Bedlinnen klaarleggen;Controles;Zeeuwse Stijl;13-08-2022;13-08-2022;1;2;2;;;
Klepperstee;3710;VL-10;1;Voorcontrole;Controles;Zeeuwse Stijl;13-08-2022;13-08-2022;1;;;;;
Klepperstee;3710;VL-10;1;Na Controle;Controles;Zeeuwse Stijl;13-08-2022;13-08-2022;1;;;;;
Klepperstee;3710;VL-10;1;controleren of airco uitstaat;Controles;Zeeuwse Stijl;13-08-2022;13-08-2022;1;;;;;
Klepperstee;3710;VL-10;1;Linnen uithalen;Controles;Zeeuwse Stijl;13-08-2022;13-08-2022;1;;;;;C
"";;;;;;;;;;;;;;
"";;;;;;;;;;;;;;
"";;;;;;;;;;;;;;
"CHECK RAMEN DEUREN
SLOTEN EN STOFZUIGERS
OP ZAKKEN"
"Wanner je geen linnen uithaalt; zorg er dan  voor dat je genoeg
servicesets en badmatten in de auto hebt liggen voor de huizen
waar je heengaat; voor het geval dat er t�ch niets ligt";"Bij linnen uit worden
de servicesets
klaargezet!"
